DateTime,IsoWeekday,A,B,C,G,H,P,U
2018-09-21 16:00:10.569605,5,FULL,50,FULL,FULL,FULL,35,13
2018-09-21 16:15:01.604149,5,FULL,50,FULL,FULL,FULL,35,13
2018-09-21 16:30:00.779066,5,45,91,25,36,FULL,60,87
2018-09-21 16:45:01.078957,5,36,137,24,44,15,95,114
2018-09-21 17:00:00.769467,5,38,190,20,59,28,111,141
2018-09-21 17:15:00.788105,5,42,253,46,80,44,129,163
2018-09-21 17:30:00.791116,5,48,295,66,75,34,138,179
2018-09-21 17:45:00.934753,5,80,315,79,103,72,144,190
2018-09-21 18:00:00.765890,5,135,380,107,139,112,153,218
2018-09-21 18:15:00.784559,5,209,425,176,179,137,154,237
2018-09-21 18:30:00.771945,5,295,470,224,211,170,150,269
2018-09-21 18:45:00.774957,5,376,505,196,238,203,148,299
2018-09-21 19:00:00.777969,5,498,511,193,245,208,155,306
2018-09-21 19:15:00.765356,5,489,503,189,256,221,147,309
2018-09-21 19:30:00.768369,5,479,458,190,281,223,148,307
2018-09-21 19:45:00.787005,5,472,416,212,279,226,139,317
2018-09-21 20:00:00.774382,5,497,411,235,325,253,138,332
2018-09-21 20:15:00.746154,5,482,410,272,341,276,132,334
2018-09-21 20:30:08.264572,5,467,467,282,342,300,130,354
2018-09-21 20:45:00.736584,5,491,549,343,344,296,126,371
2018-09-21 21:00:00.786471,5,520,648,437,351,310,132,397
2018-09-21 21:15:00.773858,5,581,831,537,378,343,147,433
2018-09-21 21:30:00.917495,5,687,1056,678,418,407,168,474
2018-09-21 21:45:00.779881,5,818,1306,851,476,473,189,522
2018-09-21 22:00:00.798519,5,966,1543,1059,586,600,205,562
2018-09-21 22:15:00.739030,5,1152,1834,1297,731,764,226,604
2018-09-21 22:30:00.757667,5,1314,2024,1435,828,875,246,645
2018-09-21 22:45:00.745027,5,1372,2139,1522,866,922,250,657
2018-09-21 23:00:00.904317,5,1433,2223,1574,923,977,262,695
2018-09-21 23:15:00.766734,5,1433,2223,1574,923,977,262,695
2018-09-21 23:30:00.754121,5,1433,2223,1574,923,977,262,695
2018-09-21 23:45:00.772758,5,1433,2223,1574,923,977,262,695
2018-09-22 00:00:00.760145,6,1433,2223,1574,923,977,262,695
2018-09-22 00:15:00.997536,6,1433,2223,1574,923,977,262,695
2018-09-22 00:30:00.766169,6,1433,2223,1574,923,977,262,695
2018-09-22 00:45:00.769180,6,1433,2223,1574,923,977,262,695
2018-09-22 01:00:00.756568,6,1433,2223,1574,923,977,262,695
2018-09-22 01:15:00.775204,6,1433,2223,1574,923,977,262,695
2018-09-22 01:30:00.809466,6,1433,2223,1574,923,977,262,695
2018-09-22 01:45:00.718759,6,1433,2223,1574,923,977,262,695
2018-09-22 02:00:00.753021,6,1433,2223,1574,923,977,262,695
2018-09-22 02:15:00.756032,6,1433,2223,1574,923,977,262,695
2018-09-22 02:30:00.743419,6,1433,2223,1574,923,977,262,695
2018-09-22 02:45:00.762055,6,1433,2223,1574,923,977,262,695
2018-09-22 03:00:00.733818,6,1433,2223,1574,923,977,262,695
2018-09-22 03:15:07.907283,6,1433,2223,1574,923,977,262,695
2018-09-22 03:30:00.754296,6,1433,2223,1574,923,977,262,695
2018-09-22 03:45:00.757308,6,1433,2223,1574,923,977,262,695
2018-09-22 04:00:00.760320,6,1433,2223,1574,923,977,262,695
2018-09-22 04:15:00.763331,6,1433,2223,1574,923,977,262,695
2018-09-22 04:30:00.750718,6,1433,2223,1574,923,977,262,695
2018-09-22 04:45:00.753730,6,1433,2223,1574,923,977,262,695
2018-09-22 05:00:00.756742,6,1768,2608,1887,1466,1487,311,819
2018-09-22 05:15:07.165816,6,1764,2609,1883,1464,1485,311,819
2018-09-22 05:30:00.762765,6,1765,2608,1885,1465,1486,311,820
2018-09-22 05:45:00.750152,6,1765,2608,1885,1462,1484,311,820
2018-09-22 06:00:00.737571,6,1764,2607,1885,1457,1483,311,819
2018-09-22 06:15:00.771832,6,1764,2605,1885,1455,1482,311,820
2018-09-22 06:30:00.759219,6,1762,2602,1881,1455,1483,311,820
2018-09-22 06:45:00.762233,6,1761,2597,1872,1455,1480,311,821
2018-09-22 07:00:00.749617,6,1755,2593,1862,1451,1475,311,820
2018-09-22 07:15:00.768254,6,1757,2591,1864,1448,1476,309,820
2018-09-22 07:30:00.755643,6,1756,2588,1860,1446,1472,310,820
2018-09-22 07:45:07.180341,6,1744,2585,1844,1438,1462,307,818
2018-09-22 08:00:00.761666,6,1730,2572,1829,1428,1450,307,816
2018-09-22 08:15:00.780301,6,1702,2552,1810,1421,1443,308,803
2018-09-22 08:30:00.752096,6,1677,2514,1773,1397,1425,308,788
2018-09-22 08:45:00.739483,6,1633,2473,1727,1379,1405,307,771
2018-09-22 09:00:12.523366,6,1571,2426,1666,1351,1375,306,752
2018-09-22 09:15:01.932974,6,1501,2375,1598,1323,1339,305,740
2018-09-22 09:30:00.764142,6,1404,2301,1488,1270,1283,301,727
2018-09-22 09:45:00.767154,6,1299,2200,1333,1226,1225,296,709
2018-09-22 10:00:00.738918,6,1155,2067,1160,1143,1144,294,687
2018-09-22 10:15:00.788803,6,1019,1916,994,1066,1063,283,661
2018-09-22 10:30:00.776193,6,884,1759,835,1012,1012,272,637
2018-09-22 10:45:00.779201,6,770,1621,658,950,944,254,624
2018-09-22 11:00:00.797870,6,661,1455,488,875,877,243,590
2018-09-22 11:15:07.425661,6,584,1315,405,824,805,227,562
2018-09-22 11:30:01.413236,6,506,1166,330,755,719,205,540
2018-09-22 11:45:00.775656,6,437,1034,264,687,656,190,509
2018-09-22 12:00:00.809918,6,379,879,194,642,612,175,485
2018-09-22 12:15:00.781679,6,323,754,159,590,565,164,462
2018-09-22 12:30:00.784689,6,291,665,123,542,523,148,432
2018-09-22 12:45:00.787700,6,240,587,97,508,485,134,418
2018-09-22 13:00:00.775091,6,204,539,97,461,441,124,402
2018-09-22 13:15:00.793727,6,181,458,69,448,428,115,402
2018-09-22 13:30:00.765520,6,157,420,75,437,411,111,395
2018-09-22 13:45:00.768533,6,127,357,77,427,405,112,385
2018-09-22 14:00:00.771543,6,109,336,73,390,373,106,378
2018-09-22 14:15:00.758932,6,95,315,57,401,372,106,367
2018-09-22 14:30:00.793191,6,81,295,53,390,362,107,353
2018-09-22 14:45:00.780577,6,69,279,23,385,361,116,351
2018-09-22 15:00:00.783592,6,56,249,12,355,338,118,350
2018-09-22 15:15:01.099102,6,53,197,22,311,301,116,352
2018-09-22 15:30:00.773987,6,42,211,26,286,278,117,352
2018-09-22 15:45:00.792624,6,47,232,31,279,267,121,352
2018-09-22 16:00:11.748446,6,51,248,50,264,255,125,361
2018-09-22 16:15:01.845523,6,52,260,91,265,255,130,372
2018-09-22 16:30:00.848566,6,59,303,110,270,257,139,387
2018-09-22 16:45:00.773453,6,69,354,102,280,265,144,401
2018-09-22 17:00:00.760840,6,76,370,118,276,264,144,392
2018-09-22 17:15:01.170102,6,113,403,156,290,279,136,405
2018-09-22 17:30:00.766863,6,142,442,152,297,277,140,419
2018-09-22 17:45:00.785500,6,163,517,173,313,289,143,442
2018-09-22 18:00:00.804136,6,182,562,201,322,296,147,454
2018-09-22 18:15:01.260227,6,217,594,200,356,317,147,455
2018-09-22 18:30:00.794567,6,235,601,225,374,333,149,463
2018-09-22 18:45:00.750705,6,257,625,215,373,336,143,462
2018-09-22 19:00:00.769340,6,263,666,217,394,350,138,469
